topic_cluster,source_concept,search_intent,locale,current_primary_term,recommended_primary_term,accepted_alternatives,terms_to_avoid,official_source,SERP_evidence,GSC_evidence,confidence,notes
Akun kapasiteetti ja lataussyklit,battery capacity and charge cycles,"Informational: understand capacity, design capacity, and cycle count",fr-FR,capacité de la batterie; cycle de charge,capacité de la batterie; cycle de charge,design/nominal capacity; remaining capacity; charge-cycle count,Canadian-French regional wording or unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=fr; https://support.google.com/pixelphone/answer/7167687?hl=fr,"Query: France Android ""état de la batterie"" ""téléphone ne charge pas"" ""batterie se décharge vite"" (fr-FR/France, 2026-07-15). Official Pixel/Samsung use état de la batterie and se décharge rapidement. https://support.google.com/pixelphone/answer/15738128?hl=fr; https://www.samsung.com/fr/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,HIGH,"Important source IDs: 12, 13, 18-20. Potential overlap: 12 vs 13 vs 18. Current term is corpus/title evidence, not a search-volume claim."
Akun kapasiteetti ja lataussyklit,battery capacity and charge cycles,"Informational: understand capacity, design capacity, and cycle count",es-ES,capacidad de la batería; ciclo de carga,capacidad de la batería; ciclo de carga,design/nominal capacity; remaining capacity; charge-cycle count,Latin American celular/computadora; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=es; https://support.google.com/pixelphone/answer/7167687?hl=es,"Query: España Android ""estado de la batería"" ""móvil no carga"" ""batería se agota rápido"" (es-ES/Spain, 2026-07-15). Official Pixel/Samsung use estado de la batería, no carga and se agota rápidamente. https://support.google.com/pixelphone/answer/15738128?hl=es; https://www.samsung.com/es/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,HIGH,"Important source IDs: 12, 13, 18-20. Potential overlap: 12 vs 13 vs 18. Current term is corpus/title evidence, not a search-volume claim."
Akun kapasiteetti ja lataussyklit,battery capacity and charge cycles,"Informational: understand capacity, design capacity, and cycle count",it-IT,capacità della batteria; ciclo di ricarica,capacità della batteria; ciclo di ricarica,design/nominal capacity; remaining capacity; charge-cycle count,Spanish/other-market wording; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=it; https://support.google.com/pixelphone/answer/7167687?hl=it,"Query: Italia Android ""stato della batteria"" ""smartphone non si ricarica"" ""batteria si scarica velocemente"" (it-IT/Italy, 2026-07-15). Official Pixel uses stato della batteria and capacità; current corpus matches. https://support.google.com/pixelphone/answer/15738128?hl=it",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,HIGH,"Important source IDs: 12, 13, 18-20. Potential overlap: 12 vs 13 vs 18. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,fi-FI,akku tyhjenee nopeasti,akku tyhjenee nopeasti,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,untranslated English except protected terms; Swedish/other-market variants,https://support.google.com/pixelphone/answer/15738128?hl=fi; https://support.google.com/pixelphone/answer/7167687?hl=fi,"Query: ""akun kunto"" Android ""akku tyhjenee nopeasti"" (fi-FI/Finland, 2026-07-15). Titles/results used akun kunto, akku tyhjenee nopeasti and lataus; official Pixel and local Back Market result. https://support.google.com/pixelphone/answer/15738128?hl=fi; https://help.backmarket.com/hc/fi/articles/5659759777692-Miksi-laitteeni-akku-tyhjenee-niin-nopeasti",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,sv-SE,batteriet laddas ur snabbt,batteriet laddas ur snabbt,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,untranslated English except protected terms; Finland-Swedish administrative wording,https://support.google.com/pixelphone/answer/15738128?hl=sv; https://support.google.com/pixelphone/answer/7167687?hl=sv,"Query: ""batterihälsa"" Android ""batteriet laddas ur snabbt"" Sverige (sv-SE/Sweden, 2026-07-15). Official Pixel uses Batterihälsa; Samsung uses Batteristatus for its status result. https://support.google.com/pixelphone/answer/15738128?hl=sv; https://www.samsung.com/se/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,nb-NO,batteriet tømmes raskt,batteriet tømmes raskt,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,Danish or Nynorsk wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15738128?hl=no; https://support.google.com/pixelphone/answer/7167687?hl=no,"Query: Norge Android ""batterihelse"" ""telefonen lader ikke"" ""batteriet tømmes raskt"" (nb-NO/Norway, 2026-07-15). Official Pixel UI uses Batteritilstand, while the editorial profile and general prose use batterihelse. https://support.google.com/pixelphone/answer/15738128?hl=no; https://www.samsung.com/no/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,da-DK,batteriet aflades hurtigt,batteriet aflades hurtigt,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,Norwegian/Swedish wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15738128?hl=da; https://support.google.com/pixelphone/answer/7167687?hl=da,"Query: Danmark Android batteritilstand ""telefonen lader ikke"" ""batteriet aflades hurtigt"" (da-DK/Denmark, 2026-07-15). Official Pixel/Samsung use Batteritilstand and battery-status wording. https://support.google.com/pixelphone/answer/15738128?hl=da; https://www.samsung.com/dk/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,de-DE,Akku entlädt sich schnell,Akku entlädt sich schnell,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,unexplained English marketing terminology or invented compounds,https://support.google.com/pixelphone/answer/15738128?hl=de; https://support.google.com/pixelphone/answer/7167687?hl=de,"Query: Deutschland Android Akkuzustand ""Smartphone lädt nicht"" ""Akku entlädt sich schnell"" (de-DE/Germany, 2026-07-15). Official Pixel/Samsung titles use Akkuzustand, Smartphone lädt nicht and Akku entlädt sich schneller. https://support.google.com/pixelphone/answer/15738128?hl=de; https://www.samsung.com/de/support/mobile-devices/so-uberprufst-du-den-akkustatus-deines-samsung-galaxy-smartphones/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,fr-FR,batterie qui se décharge vite,batterie qui se décharge vite,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,Canadian-French regional wording or unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=fr; https://support.google.com/pixelphone/answer/7167687?hl=fr,"Query: France Android ""état de la batterie"" ""téléphone ne charge pas"" ""batterie se décharge vite"" (fr-FR/France, 2026-07-15). Official Pixel/Samsung use état de la batterie and se décharge rapidement. https://support.google.com/pixelphone/answer/15738128?hl=fr; https://www.samsung.com/fr/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,es-ES,la batería se agota rápido,la batería se agota rápido,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,Latin American celular/computadora; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=es; https://support.google.com/pixelphone/answer/7167687?hl=es,"Query: España Android ""estado de la batería"" ""móvil no carga"" ""batería se agota rápido"" (es-ES/Spain, 2026-07-15). Official Pixel/Samsung use estado de la batería, no carga and se agota rápidamente. https://support.google.com/pixelphone/answer/15738128?hl=es; https://www.samsung.com/es/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Nopeasti tyhjenevä akku,battery drains fast,Problem-solving: identify abnormal drain and its cause,it-IT,la batteria si scarica velocemente,la batteria si scarica velocemente,excessive battery use; rapid discharge; overnight drain when that is the narrower intent,Spanish/other-market wording; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=it; https://support.google.com/pixelphone/answer/7167687?hl=it,"Query: Italia Android ""stato della batteria"" ""smartphone non si ricarica"" ""batteria si scarica velocemente"" (it-IT/Italy, 2026-07-15). Official Pixel uses stato della batteria and capacità; current corpus matches. https://support.google.com/pixelphone/answer/15738128?hl=it",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 14, 21-36, 145-152. Potential overlap: 21 vs 23 vs 25-27. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,fi-FI,puhelin ei lataudu,puhelin ei lataudu,charging failure; charging problem; charging port only when the port is the actual focus,untranslated English except protected terms; Swedish/other-market variants,https://support.google.com/pixelphone/answer/15738128?hl=fi; https://support.google.com/pixelphone/answer/7167687?hl=fi,"Query: ""akun kunto"" Android ""akku tyhjenee nopeasti"" (fi-FI/Finland, 2026-07-15). Titles/results used akun kunto, akku tyhjenee nopeasti and lataus; official Pixel and local Back Market result. https://support.google.com/pixelphone/answer/15738128?hl=fi; https://help.backmarket.com/hc/fi/articles/5659759777692-Miksi-laitteeni-akku-tyhjenee-niin-nopeasti",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,sv-SE,telefonen laddar inte,telefonen laddar inte,charging failure; charging problem; charging port only when the port is the actual focus,untranslated English except protected terms; Finland-Swedish administrative wording,https://support.google.com/pixelphone/answer/15738128?hl=sv; https://support.google.com/pixelphone/answer/7167687?hl=sv,"Query: ""batterihälsa"" Android ""batteriet laddas ur snabbt"" Sverige (sv-SE/Sweden, 2026-07-15). Official Pixel uses Batterihälsa; Samsung uses Batteristatus for its status result. https://support.google.com/pixelphone/answer/15738128?hl=sv; https://www.samsung.com/se/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,nb-NO,telefonen lader ikke,telefonen lader ikke,charging failure; charging problem; charging port only when the port is the actual focus,Danish or Nynorsk wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15738128?hl=no; https://support.google.com/pixelphone/answer/7167687?hl=no,"Query: Norge Android ""batterihelse"" ""telefonen lader ikke"" ""batteriet tømmes raskt"" (nb-NO/Norway, 2026-07-15). Official Pixel UI uses Batteritilstand, while the editorial profile and general prose use batterihelse. https://support.google.com/pixelphone/answer/15738128?hl=no; https://www.samsung.com/no/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,da-DK,telefonen vil ikke lade op,telefonen vil ikke lade op,charging failure; charging problem; charging port only when the port is the actual focus,Norwegian/Swedish wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15738128?hl=da; https://support.google.com/pixelphone/answer/7167687?hl=da,"Query: Danmark Android batteritilstand ""telefonen lader ikke"" ""batteriet aflades hurtigt"" (da-DK/Denmark, 2026-07-15). Official Pixel/Samsung use Batteritilstand and battery-status wording. https://support.google.com/pixelphone/answer/15738128?hl=da; https://www.samsung.com/dk/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,de-DE,Smartphone lädt nicht,Smartphone lädt nicht,charging failure; charging problem; charging port only when the port is the actual focus,unexplained English marketing terminology or invented compounds,https://support.google.com/pixelphone/answer/15738128?hl=de; https://support.google.com/pixelphone/answer/7167687?hl=de,"Query: Deutschland Android Akkuzustand ""Smartphone lädt nicht"" ""Akku entlädt sich schnell"" (de-DE/Germany, 2026-07-15). Official Pixel/Samsung titles use Akkuzustand, Smartphone lädt nicht and Akku entlädt sich schneller. https://support.google.com/pixelphone/answer/15738128?hl=de; https://www.samsung.com/de/support/mobile-devices/so-uberprufst-du-den-akkustatus-deines-samsung-galaxy-smartphones/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,fr-FR,téléphone qui ne se recharge pas,téléphone qui ne se recharge pas,charging failure; charging problem; charging port only when the port is the actual focus,Canadian-French regional wording or unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=fr; https://support.google.com/pixelphone/answer/7167687?hl=fr,"Query: France Android ""état de la batterie"" ""téléphone ne charge pas"" ""batterie se décharge vite"" (fr-FR/France, 2026-07-15). Official Pixel/Samsung use état de la batterie and se décharge rapidement. https://support.google.com/pixelphone/answer/15738128?hl=fr; https://www.samsung.com/fr/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,es-ES,el móvil no carga,el móvil no carga,charging failure; charging problem; charging port only when the port is the actual focus,Latin American celular/computadora; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=es; https://support.google.com/pixelphone/answer/7167687?hl=es,"Query: España Android ""estado de la batería"" ""móvil no carga"" ""batería se agota rápido"" (es-ES/Spain, 2026-07-15). Official Pixel/Samsung use estado de la batería, no carga and se agota rápidamente. https://support.google.com/pixelphone/answer/15738128?hl=es; https://www.samsung.com/es/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Puhelin ei lataudu,phone will not charge,Problem-solving: diagnose a charging failure,it-IT,lo smartphone non si ricarica,lo smartphone non si ricarica,charging failure; charging problem; charging port only when the port is the actual focus,Spanish/other-market wording; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=it; https://support.google.com/pixelphone/answer/7167687?hl=it,"Query: Italia Android ""stato della batteria"" ""smartphone non si ricarica"" ""batteria si scarica velocemente"" (it-IT/Italy, 2026-07-15). Official Pixel uses stato della batteria and capacità; current corpus matches. https://support.google.com/pixelphone/answer/15738128?hl=it",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 47, 48, 108. Potential overlap: 47 vs 48 vs 108. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,fi-FI,latausnopeus; laturi,latausnopeus; laturi,"charging, charger, power adapter, fast charging, charging speed according to intent",untranslated English except protected terms; Swedish/other-market variants,https://support.google.com/pixelphone/answer/15738128?hl=fi; https://support.google.com/pixelphone/answer/7167687?hl=fi,"Query: ""akun kunto"" Android ""akku tyhjenee nopeasti"" (fi-FI/Finland, 2026-07-15). Titles/results used akun kunto, akku tyhjenee nopeasti and lataus; official Pixel and local Back Market result. https://support.google.com/pixelphone/answer/15738128?hl=fi; https://help.backmarket.com/hc/fi/articles/5659759777692-Miksi-laitteeni-akku-tyhjenee-niin-nopeasti",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,sv-SE,laddningshastighet; laddare,laddningshastighet; laddare,"charging, charger, power adapter, fast charging, charging speed according to intent",untranslated English except protected terms; Finland-Swedish administrative wording,https://support.google.com/pixelphone/answer/15738128?hl=sv; https://support.google.com/pixelphone/answer/7167687?hl=sv,"Query: ""batterihälsa"" Android ""batteriet laddas ur snabbt"" Sverige (sv-SE/Sweden, 2026-07-15). Official Pixel uses Batterihälsa; Samsung uses Batteristatus for its status result. https://support.google.com/pixelphone/answer/15738128?hl=sv; https://www.samsung.com/se/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,nb-NO,ladehastighet; lader,ladehastighet; lader,"charging, charger, power adapter, fast charging, charging speed according to intent",Danish or Nynorsk wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15738128?hl=no; https://support.google.com/pixelphone/answer/7167687?hl=no,"Query: Norge Android ""batterihelse"" ""telefonen lader ikke"" ""batteriet tømmes raskt"" (nb-NO/Norway, 2026-07-15). Official Pixel UI uses Batteritilstand, while the editorial profile and general prose use batterihelse. https://support.google.com/pixelphone/answer/15738128?hl=no; https://www.samsung.com/no/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,da-DK,opladningshastighed; oplader,opladningshastighed; oplader,"charging, charger, power adapter, fast charging, charging speed according to intent",Norwegian/Swedish wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15738128?hl=da; https://support.google.com/pixelphone/answer/7167687?hl=da,"Query: Danmark Android batteritilstand ""telefonen lader ikke"" ""batteriet aflades hurtigt"" (da-DK/Denmark, 2026-07-15). Official Pixel/Samsung use Batteritilstand and battery-status wording. https://support.google.com/pixelphone/answer/15738128?hl=da; https://www.samsung.com/dk/support/mobile-devices/how-to-check-the-battery-status-on-your-samsung-galaxy-phone/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,de-DE,Ladegeschwindigkeit; Ladegerät,Ladegeschwindigkeit; Ladegerät,"charging, charger, power adapter, fast charging, charging speed according to intent",unexplained English marketing terminology or invented compounds,https://support.google.com/pixelphone/answer/15738128?hl=de; https://support.google.com/pixelphone/answer/7167687?hl=de,"Query: Deutschland Android Akkuzustand ""Smartphone lädt nicht"" ""Akku entlädt sich schnell"" (de-DE/Germany, 2026-07-15). Official Pixel/Samsung titles use Akkuzustand, Smartphone lädt nicht and Akku entlädt sich schneller. https://support.google.com/pixelphone/answer/15738128?hl=de; https://www.samsung.com/de/support/mobile-devices/so-uberprufst-du-den-akkustatus-deines-samsung-galaxy-smartphones/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,fr-FR,vitesse de recharge; chargeur,vitesse de recharge; chargeur,"charging, charger, power adapter, fast charging, charging speed according to intent",Canadian-French regional wording or unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=fr; https://support.google.com/pixelphone/answer/7167687?hl=fr,"Query: France Android ""état de la batterie"" ""téléphone ne charge pas"" ""batterie se décharge vite"" (fr-FR/France, 2026-07-15). Official Pixel/Samsung use état de la batterie and se décharge rapidement. https://support.google.com/pixelphone/answer/15738128?hl=fr; https://www.samsung.com/fr/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,es-ES,velocidad de carga; cargador,velocidad de carga; cargador,"charging, charger, power adapter, fast charging, charging speed according to intent",Latin American celular/computadora; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=es; https://support.google.com/pixelphone/answer/7167687?hl=es,"Query: España Android ""estado de la batería"" ""móvil no carga"" ""batería se agota rápido"" (es-ES/Spain, 2026-07-15). Official Pixel/Samsung use estado de la batería, no carga and se agota rápidamente. https://support.google.com/pixelphone/answer/15738128?hl=es; https://www.samsung.com/es/support/mobile-devices/how-to-check-repair-or-replace-a-samsung-galaxy-device-battery/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Laturit ja latausnopeus,chargers and charging speed,Informational/commercial/problem-solving: choose and test a charger or explain charging speed,it-IT,velocità di ricarica; caricabatterie,velocità di ricarica; caricabatterie,"charging, charger, power adapter, fast charging, charging speed according to intent",Spanish/other-market wording; unexplained English head terms,https://support.google.com/pixelphone/answer/15738128?hl=it; https://support.google.com/pixelphone/answer/7167687?hl=it,"Query: Italia Android ""stato della batteria"" ""smartphone non si ricarica"" ""batteria si scarica velocemente"" (it-IT/Italy, 2026-07-15). Official Pixel uses stato della batteria and capacità; current corpus matches. https://support.google.com/pixelphone/answer/15738128?hl=it",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 37-51. Potential overlap: 44 vs 45 vs 47-50. Current term is corpus/title evidence, not a search-volume claim."
Ylikuumeneminen ja lämpötila,phone overheating and temperature,"Problem-solving: explain heat, measure temperature, and cool safely",fi-FI,ylikuumeneminen; puhelin kuumenee,ylikuumeneminen; puhelin kuumenee,phone gets hot; excessive heat; temperature check,untranslated English except protected terms; Swedish/other-market variants,https://support.google.com/pixelphone/answer/15679416?hl=fi; https://source.android.com/docs/core/power/thermal-mitigation,"Query: Suomi Android puhelin ylikuumenee thermal throttling laitteistotesti diagnostiikkasovellus (fi-FI/Finland, 2026-07-15). Results consistently used kuumenee/ylikuumeneminen; no stable Finnish consumer head term for thermal throttling, so explanation-first wording remains safer. https://fi.androidguias.com/Androidin-ylikuumeneminen%3A-syyt--kuinka-havaita-se-ja-kuinka-j%C3%A4%C3%A4hdytt%C3%A4%C3%A4-se-turvallisesti/",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 52-63. Potential overlap: 53 vs 54 vs 58-59. Current term is corpus/title evidence, not a search-volume claim."
Ylikuumeneminen ja lämpötila,phone overheating and temperature,"Problem-solving: explain heat, measure temperature, and cool safely",sv-SE,överhettning; telefonen blir varm,överhettning; telefonen blir varm,phone gets hot; excessive heat; temperature check,untranslated English except protected terms; Finland-Swedish administrative wording,https://support.google.com/pixelphone/answer/15679416?hl=sv; https://source.android.com/docs/core/power/thermal-mitigation,"Query: Ruotsi Android telefon överhettas termisk strypning hårdvarutest diagnostikapp (sv-SE/Sweden, 2026-07-15). Results were sparse and partly app-store noise; no volume or dominance claim is made. Official/local corpus terminology supports överhettning and explanation-first termisk strypning.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 52-63. Potential overlap: 53 vs 54 vs 58-59. Current term is corpus/title evidence, not a search-volume claim."
Ylikuumeneminen ja lämpötila,phone overheating and temperature,"Problem-solving: explain heat, measure temperature, and cool safely",nb-NO,overoppheting; telefonen blir varm,overoppheting; telefonen blir varm,phone gets hot; excessive heat; temperature check,Danish or Nynorsk wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15679416?hl=no; https://source.android.com/docs/core/power/thermal-mitigation,"Query: Norge Android telefon overopphetes termisk struping maskinvaretest diagnoseapp (nb-NO/Norway, 2026-07-15). Results were sparse/app-store-heavy; no dominance claim. Profile wording remains MEDIUM/LOW for thermal throttling.",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 52-63. Potential overlap: 53 vs 54 vs 58-59. Current term is corpus/title evidence, not a search-volume claim."
Ylikuumeneminen ja lämpötila,phone overheating and temperature,"Problem-solving: explain heat, measure temperature, and cool safely",da-DK,overophedning; telefonen bliver varm,overophedning; telefonen bliver varm,phone gets hot; excessive heat; temperature check,Norwegian/Swedish wording; untranslated English except protected terms,https://support.google.com/pixelphone/answer/15679416?hl=da; https://source.android.com/docs/core/power/thermal-mitigation,"Query: Danmark Android telefon overophedet termisk begrænsning hardwaretest diagnoseapp (da-DK/Denmark, 2026-07-15). Results were sparse; official Pixel uses temperatur/termiske diagnosticeringssignaler, supporting explanation-first terminology. https://support.google.com/pixelphone/answer/15679416?hl=da",Not available. No Search Console export or API result was found in the project/reports on 2026-07-15.,MEDIUM,"Important source IDs: 52-63. Potential overlap: 53 vs 54 vs 58-59. Current term is corpus/title evidence, not a search-volume claim."
